Order,Player,Club,Nationality,Percent,Year,Position
17,Franck RibÃ©ry,Marseille /     Bayern Munich,France,0.693000693000693,2007,
18,Paolo Maldini,Milan,Italy,0.5544005544005544,2007,
19,Gianluigi Buffon,Juventus,Italy,0.4851004851004851,2007,
,Petr Äech,Chelsea,Czech Republic,0.4851004851004851,2007,
,Gennaro Gattuso,Milan,Italy,0.4851004851004851,2007,
,Thierry Henry,Arsenal / Barcelona,France,0.4851004851004851,2007,
,Clarence Seedorf,Milan,Netherlands,0.4851004851004851,2007,
24,Fabio Cannavaro,Real Madrid,Italy,0.3465003465003465,2007,
,Michael Essien,Chelsea,Ghana,0.3465003465003465,2007,
26,Wayne Rooney,Manchester United,England,0.2772002772002772,2007,
27,Iker Casillas,Real Madrid,Spain,0.2079002079002079,2007,
,RogÃ©rio Ceni,SÃ£o Paulo,Brazil,0.2079002079002079,2007,
29,Younis Mahmoud,Al-Gharafa,Iraq,0.1386001386001386,2007,
30,Guillermo Ochoa,AmÃ©rica,Mexico,0.0693000693000693,2007,
,Dimitar Berbatov,Tottenham Hotspur,Bulgaria,0.0693000693000693,2007,
,Samuel Eto'o,Barcelona,Cameroon,0.0693000693000693,2007,
,Ryan Giggs,Manchester United,Wales,0.0693000693000693,2007,
,Carlos Tevez,West Ham United /     Manchester United,Argentina,0.0693000693000693,2007,
,Robin van Persie,Arsenal,Netherlands,0.0693000693000693,2007,
36,Eric Abidal,Lyon / Barcelona,France,0.0,2007,
,David Beckham,Real Madrid /  LA Galaxy,England,0.0,2007,
,Deco,Barcelona,Portugal,0.0,2007,
,Mahamadou Diarra,Real Madrid,Mali,0.0,2007,
,Diego,Werder Bremen,Brazil,0.0,2007,
,Miroslav Klose,Werder Bremen /     Bayern Munich,Germany,0.0,2007,
,Florent Malouda,Lyon / Chelsea,France,0.0,2007,
,Shunsuke Nakamura,Celtic,Japan,0.0,2007,
,Ricardo Quaresma,Porto,Portugal,0.0,2007,
,RaÃºl,Real Madrid,Spain,0.0,2007,
,Paul Scholes,Manchester United,England,0.0,2007,
,Luca Toni,Bayern Munich,Italy,0.0,2007,
,Kolo TourÃ©,Arsenal,Ivory Coast,0.0,2007,
,Fernando Torres,AtlÃ©tico Madrid /    Liverpool,Spain,0.0,2007,
,David Villa,Valencia,Spain,0.0,2007,
1,Cristiano Ronaldo,Manchester United,Portugal,31.01529902642559,2008,
2,Lionel Messi,Barcelona,Argentina,19.541029207232267,2008,
3,Fernando Torres,Liverpool,Spain,12.447844228094576,2008,
4,Iker Casillas,Real Madrid,Spain,9.248956884561892,2008,
5,Xavi,Barcelona,Spain,6.7454798331015295,2008,
6,Andrey Arshavin,Zenit Saint Petersburg,Russia,4.450625869262865,2008,
7,David Villa,Valencia,Spain,3.8247566063977745,2008,
8,Zlatan IbrahimoviÄ,Internazionale,Sweden,2.086230876216968,2008,
9,KakÃ¡,Milan,Brazil,2.0166898470097356,2008,
10,Steven Gerrard,Liverpool,England,1.9471488178025034,2008,
11,Marcos Senna,Villarreal,Spain,1.1126564673157162,2008,
12,Emmanuel Adebayor,Arsenal,Togo,0.8344923504867872,2008,
13,Wayne Rooney,Manchester United,England,0.764951321279555,2008,
14,Sergio AgÃ¼ero,AtlÃ©tico Madrid,Argentina,0.6954102920723227,2008,
15,Frank Lampard,Chelsea,England,0.5563282336578581,2008,
16,Franck RibÃ©ry,Bayern Munich,France,0.48678720445062584,2008,
17,Samuel Eto'o,Barcelona,Cameroon,0.4172461752433936,2008,
18,Gianluigi Buffon,Juventus,Italy,0.34770514603616137,2008,
19,Michael Ballack,Chelsea,Germany,0.27816411682892905,2008,
,Cesc FÃ bregas,Arsenal,Spain,0.27816411682892905,2008,
21,Didier Drogba,Chelsea,Ivory Coast,0.2086230876216968,2008,
,Sergio Ramos,Real Madrid,Spain,0.2086230876216968,2008,
,Nemanja VidiÄ,Manchester United,Serbia,0.2086230876216968,2008,
24,Edwin van der Sar,Manchester United,Netherlands,0.13908205841446453,2008,
,Ruud van Nistelrooy,Real Madrid,Netherlands,0.13908205841446453,2008,
26,Karim Benzema,Lyon,France,0.0,2008,
,Pepe,Real Madrid,Portugal,0.0,2008,
,Luca Toni,Bayern Munich,Italy,0.0,2008,
,Rafael van der Vaart,Real Madrid,Netherlands,0.0,2008,
,Yuri Zhirkov,CSKA Moscow,Russia,0.0,2008,
1,Lionel Messi,Barcelona,Argentina,32.82442748091603,2009,
2,Cristiano Ronaldo,Manchester United /     Real Madrid,Portugal,16.16932685634976,2009,
3,Xavi,Barcelona,Spain,11.79736294240111,2009,
4,AndrÃ©s Iniesta,Barcelona,Spain,10.340041637751561,2009,
5,Samuel Eto'o,Barcelona /     Internazionale,Cameroon,5.20471894517696,2009,
6,KakÃ¡,Milan /  Real    Madrid,Brazil,4.02498265093685,2009,
7,Zlatan IbrahimoviÄ,Internazionale /    Barcelona,Sweden,3.4698126301179735,2009,
8,Wayne Rooney,Manchester United,England,2.428868841082582,2009,
9,Didier Drogba,Chelsea,Ivory Coast,2.2900763358778624,2009,
10,Steven Gerrard,Liverpool,England,2.220680083275503,2009,
11,Fernando Torres,Liverpool,Spain,1.5267175572519083,2009,
12,Cesc FÃ bregas,Arsenal,Spain,0.9021512838306732,2009,
13,Edin DÅ¾eko,Wolfsburg,Bosnia and Herzegovina,0.8327550312283136,2009,
14,Ryan Giggs,Manchester United,Wales,0.7633587786259541,2009,
15,Thierry Henry,Barcelona,France,0.6245662734212353,2009,
16,LuÃ­s Fabiano,Sevilla,Brazil,0.5551700208188758,2009,
,Nemanja VidiÄ,Manchester United,Serbia,0.5551700208188758,2009,
,Iker Casillas,Real Madrid,Spain,0.5551700208188758,2009,
19,Diego ForlÃ¡n,AtlÃ©tico Madrid,Uruguay,0.4857737682165163,2009,
20,Yoann Gourcuff,Bordeaux,France,0.4163775156141568,2009,
21,Andrey Arshavin,Arsenal,Russia,0.3469812630117973,2009,
,JÃºlio CÃ©sar,Internazionale,Brazil,0.3469812630117973,2009,
,Frank Lampard,Chelsea,England,0.3469812630117973,2009,
24,Maicon,Internazionale,Brazil,0.2775850104094379,2009,
25,Diego,Werder Bremen /    Juventus,Brazil,0.2081887578070784,2009,
26,David Villa,Valencia,Spain,0.13879250520471895,2009,
,John Terry,Chelsea,England,0.13879250520471895,2009,
28,Franck RibÃ©ry,Bayern Munich,France,0.06939625260235947,2009,
,Yaya TourÃ©,Barcelona,Ivory Coast,0.06939625260235947,2009,
30,Karim Benzema,Lyon /  Real    Madrid,France,0.06939625260235947,2009,
1,Lionel Messi,Barcelona,Argentina,22.65,2010,
2,AndrÃ©s Iniesta,Barcelona,Spain,17.36,2010,
3,Xavi,Barcelona,Spain,16.48,2010,
4,Wesley Sneijder,Internazionale,Netherlands,14.48,2010,
5,Diego ForlÃ¡n,AtlÃ©tico Madrid,Uruguay,7.61,2010,
6,Cristiano Ronaldo,Real Madrid,Portugal,3.92,2010,
7,Iker Casillas,Real Madrid,Spain,2.90,2010,
8,David Villa,Valencia / Barcelona,Spain,2.25,2010,
9,Didier Drogba,Chelsea,Ivory Coast,1.68,2010,
10,Xabi Alonso,Real Madrid,Spain,1.52,2010,
11,Carles Puyol,Barcelona,Spain,1.43,2010,
12,Samuel Eto'o,Internazionale,Cameroon,1.37,2010,
13,Mesut Ãzil,Real Madrid,Germany,1.21,2010,
14,Arjen Robben,Bayern Munich,Netherlands,1.16,2010,
15,Thomas MÃ¼ller,Bayern Munich,Germany,0.91,2010,
16,Bastian Schweinsteiger,Bayern Munich,Germany,0.75,2010,
17,Maicon,Internazionale,Brazil,0.57,2010,
18,Asamoah Gyan,Sunderland,Ghana,0.46,2010,
19,JÃºlio CÃ©sar,Internazionale,Brazil,0.22,2010,
20,Cesc FÃ bregas,Arsenal,Spain,0.22,2010,
21,Miroslav Klose,Bayern Munich,Germany,0.19,2010,
22,Philipp Lahm,Bayern Munich,Germany,0.05,2010,
23,Dani Alves,Barcelona,Brazil,0.05,2010,
1,Lionel Messi,Barcelona,Argentina,47.88,2011,
2,Cristiano Ronaldo,Real Madrid,Portugal,21.6,2011,
3,Xavi,Barcelona,Spain,9.23,2011,
4,AndrÃ©s Iniesta,Barcelona,Spain,6.01,2011,
5,Wayne Rooney,Manchester United,England,2.31,2011,
6,Luis SuÃ¡rez,Ajax / Liverpool,Uruguay,1.48,2011,
7,Diego ForlÃ¡n,AtlÃ©tico Madrid /    Internazionale,Uruguay,1.43,2011,
8,Samuel Eto'o,Internazionale /     Anzhi Makhachkala,Cameroon,1.34,2011,
9,Iker Casillas,Real Madrid,Spain,1.29,2011,
10,Neymar,Santos,Brazil,1.12,2011,
11,Mesut Ãzil,Real Madrid,Germany,0.76,2011,
12,Wesley Sneijder,Internazionale,Netherlands,0.72,2011,
13,Thomas MÃ¼ller,Bayern Munich,Germany,0.64,2011,
14,David Villa,Barcelona,Spain,0.53,2011,
15,Bastian Schweinsteiger,Bayern Munich,Germany,0.50,2011,
16,Xabi Alonso,Real Madrid,Spain,0.48,2011,
17,Sergio AgÃ¼ero,AtlÃ©tico Madrid,Argentina,0.48,2011,
18,Eric Abidal,Barcelona,France,0.36,2011,
19,Dani Alves,Barcelona,Brazil,0.34,2011,
20,Karim Benzema,Real Madrid,France,0.34,2011,
21,Cesc FÃ bregas,Arsenal / Barcelona,Spain,0.29,2011,
22,Nani,Manchester United,Portugal,0.26,2011,
23,Gerard PiquÃ©,Barcelona,Spain,0.22,2011,
1,Lionel Messi,Barcelona,Argentina,41.6,2012,
2,Cristiano Ronaldo,Real Madrid,Portugal,23.68,2012,
3,AndrÃ©s Iniesta,Barcelona,Spain,10.91,2012,
4,Xavi,Barcelona,Spain,4.08,2012,
5,Radamel Falcao,AtlÃ©tico Madrid,Colombia,3.67,2012,
6,Iker Casillas,Real Madrid,Spain,3.18,2012,
7,Andrea Pirlo,Juventus,Italy,2.66,2012,
8,Didier Drogba,Chelsea /     Shanghai Shenhua,Ivory Coast,2.6,2012,
9,Robin van Persie,Arsenal /     Manchester United,Netherlands,1.45,2012,
10,Zlatan IbrahimoviÄ,Milan /  Paris    Saint-Germain,Sweden,1.24,2012,
11,Xabi Alonso,Real Madrid,Spain,1.09,2012,
12,Yaya TourÃ©,Manchester City,Ivory Coast,0.76,2012,
13,Neymar,Santos,Brazil,0.61,2012,
14,Mesut Ãzil,Real Madrid,Germany,0.41,2012,
15,Wayne Rooney,Manchester United,England,0.39,2012,
16,Gianluigi Buffon,Juventus,Italy,0.35,2012,
17,Sergio AgÃ¼ero,Manchester City,Argentina,0.3,2012,
18,Sergio Ramos,Real Madrid,Spain,0.22,2012,
19,Manuel Neuer,Bayern Munich,Germany,0.21,2012,
20,Sergio Busquets,Barcelona,Spain,0.2,2012,
21,Gerard PiquÃ©,Barcelona,Spain,0.11,2012,
22,Karim Benzema,Real Madrid,France,0.11,2012,
23,Mario Balotelli,Manchester City,Italy,0.07,2012,
1,Cristiano Ronaldo,Real Madrid,Portugal,27.99,2013,
2,Lionel Messi,Barcelona,Argentina,24.72,2013,
3,Franck RibÃ©ry,Bayern Munich,France,23.36,2013,
4,Zlatan IbrahimoviÄ,Paris Saint-Germain,Sweden,5.29,2013,
5,Neymar,Santos / Barcelona,Brazil,3.17,2013,
6,AndrÃ©s Iniesta,Barcelona,Spain,2.08,2013,
7,Robin van Persie,Manchester United,Netherlands,1.79,2013,
8,Arjen Robben,Bayern Munich,Netherlands,1.77,2013,
9,Gareth Bale,Tottenham Hotspur /     Real Madrid,Wales,1.32,2013,
10,Andrea Pirlo,Juventus,Italy,1.11,2013,
11,Radamel Falcao,AtlÃ©tico Madrid /    Monaco,Colombia,1.08,2013,
12,Yaya TourÃ©,Manchester City,Ivory Coast,0.99,2013,
13,Robert Lewandowski,Borussia Dortmund,Poland,0.92,2013,
14,Philipp Lahm,Bayern Munich,Germany,0.82,2013,
15,Xavi,Barcelona,Spain,0.82,2013,
16,Mesut Ãzil,Real Madrid / Arsenal,Germany,0.71,2013,
17,Bastian Schweinsteiger,Bayern Munich,Germany,0.43,2013,
